7,Caterer,20,2021-12-08 15:00:00+00,2021-12-08 23:00:00+00,143.00,1,Borough Pizza
29,Caterer,12,2021-12-15 14:00:00+00,2021-12-15 22:00:00+00,380.00,1,EVENTFULLNYC Catering
6,Equipment,13,2021-12-19 14:00:00+00,2021-12-19 20:00:00+00,100.00,1,Dishes (Small)
6,Equipment,21,2021-12-19 14:00:00+00,2021-12-19 20:00:00+00,1200.00,1,Refrigerated truck
12,Equipment,13,2021-12-07 19:00:00+00,2021-12-07 21:30:00+00,100.00,1,Dishes (Small)
12,Equipment,21,2021-12-07 19:00:00+00,2021-12-07 21:30:00+00,1200.00,1,Refrigerated truck
31,Caterer,9,2021-12-18 15:00:00+00,2021-12-18 18:00:00+00,1530.00,1,King Soloman Glatt Kosher Catering
16,Caterer,11,2021-12-11 17:00:00+00,2021-12-12 02:00:00+00,540.00,1,Red Table Catering
32,Caterer,14,2021-12-05 00:30:00+00,2021-12-05 04:30:00+00,530.00,1,Liberty Warehouse Catering
2,Caterer,12,2021-12-04 15:00:00+00,2021-12-04 23:00:00+00,380.00,1,EVENTFULLNYC Catering
4,Caterer,12,2021-12-06 15:00:00+00,2021-12-06 23:00:00+00,380.00,1,EVENTFULLNYC Catering
28,Entertainment,20,2021-12-14 14:00:00+00,2021-12-14 22:00:00+00,10.00,1,Lazy Animal Handlers
29,Entertainment,18,2021-12-15 14:00:00+00,2021-12-15 22:00:00+00,20.00,1,Weng-Wustie Wranglers
30,Entertainment,11,2021-12-16 14:00:00+00,2021-12-16 22:00:00+00,400.00,1,Manic Margie
6,Entertainment,5,2021-12-19 14:00:00+00,2021-12-19 20:00:00+00,150.00,1,Lea Bertucci
9,Entertainment,2,2021-12-16 01:00:00+00,2021-12-16 03:30:00+00,250.00,1,The Groh Show
13,Entertainment,5,2021-12-05 16:00:00+00,2021-12-05 18:30:00+00,150.00,1,Lea Bertucci
33,Entertainment,17,2021-12-23 18:00:00+00,2021-12-24 03:00:00+00,1000.00,1,Hochnase Quartet
4,Entertainment,14,2021-12-06 15:00:00+00,2021-12-06 23:00:00+00,500.00,1,Liminal Space Fire Arts
7,Equipment,24,2021-12-08 15:00:00+00,2021-12-08 23:00:00+00,10.00,400,Folding chair
19,Equipment,2,2021-12-03 00:00:00+00,2021-12-03 03:00:00+00,4.00,1,Surge Protector
19,Equipment,28,2021-12-03 00:00:00+00,2021-12-03 03:00:00+00,200.00,1,Soundboard
19,Equipment,33,2021-12-03 00:00:00+00,2021-12-03 03:00:00+00,300.00,1,Power supply
21,Equipment,2,2021-12-17 00:00:00+00,2021-12-17 03:00:00+00,4.00,1,Surge Protector
21,Equipment,28,2021-12-17 00:00:00+00,2021-12-17 03:00:00+00,200.00,1,Soundboard
21,Equipment,33,2021-12-17 00:00:00+00,2021-12-17 03:00:00+00,300.00,1,Power supply
28,Equipment,16,2021-12-14 14:00:00+00,2021-12-14 22:00:00+00,2000.00,4,20x40 stage
30,Equipment,17,2021-12-16 14:00:00+00,2021-12-16 22:00:00+00,2800.00,2,20x60 stage
28,Equipment,32,2021-12-14 14:00:00+00,2021-12-14 22:00:00+00,10.00,50,Balloons
28,Equipment,1,2021-12-14 14:00:00+00,2021-12-14 22:00:00+00,3.00,1,Extension Cord 
30,Equipment,1,2021-12-16 14:00:00+00,2021-12-16 22:00:00+00,3.00,1,Extension Cord 
6,Equipment,11,2021-12-19 14:00:00+00,2021-12-19 20:00:00+00,80.00,2,Silverware (Large)
12,Equipment,24,2021-12-07 19:00:00+00,2021-12-07 21:30:00+00,10.00,20,Folding chair
8,Equipment,30,2021-12-02 01:00:00+00,2021-12-02 03:30:00+00,200.00,10,Projector
9,Equipment,31,2021-12-16 01:00:00+00,2021-12-16 03:30:00+00,50.00,1,Screen
31,Equipment,1,2021-12-18 15:00:00+00,2021-12-18 18:00:00+00,3.00,1,Extension Cord 
31,Equipment,31,2021-12-18 15:00:00+00,2021-12-18 18:00:00+00,50.00,1,Screen
24,Equipment,19,2021-12-11 00:00:00+00,2021-12-11 04:00:00+00,300.00,3,Confetti Cannon
