1,12/14/21,1:00:00-5:00,15:00:00-5:00,"419 Eldert St, Brooklyn, NY 11237",3000,Anja.Garcia@columbia.edu,"""The Database that Dared to Dream"" Book Release and Signing!",FALSE
2,12/4/21,10:00:00-5:00,18:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",4500,MarieSu@aol.com,10th Annual Broadway Board Game Jamboree!,FALSE
3,12/5/21,10:00:00-5:00,18:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",4500,MarieSu@aol.com,10th Annual Broadway Board Game Jamboree!,FALSE
4,12/6/21,10:00:00-5:00,18:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",4500,MarieSu@aol.com,10th Annual Broadway Board Game Jamboree!,FALSE
5,12/19/21,18:00:00-5:00,23:59:59-5:00,"400 Liberty Ave, Brooklyn NY 11207",350,SockOngSocksOff@hotmail.com,3rd Annual Mega Murder Mystery Party!,TRUE
6,12/19/21,9:00:00-5:00,15:00:00-5:00,"74 Pennsylvania Ave, Brooklyn, NY 11207",250,AWong@nyu.edu,Bi-Monthly LGBT Families' Brunch,FALSE
7,12/8/21,10:00:00-5:00,18:00:00-5:00,"106 16 70th Ave, Forest Hills, NY 11375",700,jh@aol.com,Code Jam for Cancer and Charity and Stuff,FALSE
8,12/1/21,20:00:00-5:00,22:30:00-5:00,"124 Washington Ave, Brooklyn, NY 11205",500,FreddoInBeddo@gmail.com,Comedy Night at the Candy Factory,TRUE
9,12/15/21,20:00:00-5:00,22:30:00-5:00,"124 Washington Ave, Brooklyn, NY 11205",500,FreddoInBeddo@gmail.com,Comedy Night at the Candy Factory,TRUE
10,12/27/21,17:00:00-5:00,22:00:00-5:00,"26 Bridge St, Brooklyn, NY 11201",1100,Akre92@sympatico.ca,Family Dinner,FALSE
11,12/8/21,18:00:00-5:00,19:30:00-5:00,"183 Hegeman Ave, Brooklyn NY 11212",250,SB@hotmail.com,Flow Arts Silks Workshop with Summer,FALSE
12,12/7/21,14:00:00-5:00,16:30:00-5:00,"400 Liberty Ave, Brooklyn NY 11207",150,VanderBUILT@yahoo.com,Hannah Fikki's 8th Birthday!,FALSE
13,12/5/21,11:00:00-5:00,13:30:00-5:00,"501 E 61 ST, New York, NY 10065",3500,GozoGonzo@hotmail.com,High Tea at the Pavillion,TRUE
14,12/12/21,11:00:00-5:00,13:30:00-5:00,"501 E 61 ST, New York, NY 10065",3500,GozoGonzo@hotmail.com,High Tea at the Pavillion,TRUE
15,12/19/21,11:00:00-5:00,13:30:00-5:00,"501 E 61 ST, New York, NY 10065",3500,GozoGonzo@hotmail.com,High Tea at the Pavillion,TRUE
16,12/11/21,12:00:00-5:00,21:00:00-5:00,"183 Hegeman Ave, Brooklyn NY 11212",1500,GreggWith2Gs@aol.com,Kenn & Ash's Wedding Reception,TRUE
17,12/14/21,8:00:00-5:00,16:00:00-5:00,"345 Broadway, Brooklyn, NY 11221",2000,BookerJabari@hotmail.com,MTA Drivers' Security Conference,TRUE
18,12/15/21,8:00:00-5:00,16:00:00-5:00,"345 Broadway, Brooklyn, NY 11221",2000,BookerJabari@hotmail.com,MTA Drivers' Security Conference,TRUE
19,12/2/21,19:00:00-5:00,22:00:00-5:00,"71 Malcolm X Blvd, Brooklyn, NY 11221",5,liubomb@hotmail.com,NYC Dragon Dancers Weekly Practice,FALSE
20,12/9/21,19:00:00-5:00,22:00:00-5:00,"71 Malcolm X Blvd, Brooklyn, NY 11221",5,liubomb@hotmail.com,NYC Dragon Dancers Weekly Practice,FALSE
21,12/16/21,19:00:00-5:00,22:00:00-5:00,"71 Malcolm X Blvd, Brooklyn, NY 11221",5,liubomb@hotmail.com,NYC Dragon Dancers Weekly Practice,FALSE
22,12/22/21,19:00:00-5:00,22:00:00-5:00,"71 Malcolm X Blvd, Brooklyn, NY 11221",5,liubomb@hotmail.com,NYC Dragon Dancers Weekly Practice,FALSE
23,12/11/21,17:00:00-5:00,23:00:00-5:00,"26 Bridge St, Brooklyn, NY 11201",600,whitewalt@aol.com,Remembering Alex De Camp,FALSE
24,12/10/21,19:00:00-5:00,23:00:00-5:00,"26 Bridge St, Brooklyn, NY 11201",400,SammySanchie@yahoo.ca,Sammy's Thesis Defense Party!,TRUE
25,12/16/21,19:30-5:00,21:30:00-5:00,"74 Pennsylvania Ave, Brooklyn, NY 11207",500,OberIT@aol.com,Slick Wesley's Smooth Jazz Trio,TRUE
26,12/6/21,19:30:00-5:00,22:00:00-5:00,"419 Eldert St, Brooklyn, NY 11237",2500,AttackOfTheMeghaKale@hotmail.com,Speed Dating at the Starr!,TRUE
27,12/20/21,19:30:00-5:00,22:00:00-5:00,"419 Eldert St, Brooklyn, NY 11237",2500,AttackOfTheMeghaKale@hotmail.com,Speed Dating at the Starr!,TRUE
28,12/14/21,9:00:00-5:00,17:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",2000,marin@gmail.com,The Big Tent New York Circus Arts Festival,FALSE
29,12/15/21,9:00:00-5:00,17:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",2000,marin@gmail.com,The Big Tent New York Circus Arts Festival,FALSE
30,12/16/21,9:00:00-5:00,17:00:00-5:00,"712 Bedford Ave, Brooklyn, NY 11206",2000,marin@gmail.com,The Big Tent New York Circus Arts Festival,FALSE
31,12/18/21,10:00:00-5:00,13:00:00-5:00,"106 16 70th Ave, Forest Hills, NY 11375",1000,MorelandMM@gmail.com,Tommy Ashburn's Bar Mitzvah,FALSE
32,12/4/21,19:30:00-5:00,23:30:00-5:00,"124 Washington Ave, Brooklyn, NY 11205",400,NoNgo@hotmail.com,Young Democrats 657 Chapter,FALSE
33,12/23/21,13:00:00-5:00,22:00:00-5:00,"345 Broadway, Brooklyn, NY 11221",3000,AnjaliSiva@yahoo.ca,Yousef & Kawlah's Wedding,FALSE
