Staff,1,54,Bartending,he / him,San ,Lu,SLu@aol.com
Staff,2,51,"Bartending, Serving",she / her,Joanna ,Condoluci,CondoluciJ@yahoo.com
Staff,3,42,"Bartending, Serving",she / her,Jessica ,Grunfeld,JessGrun@yahoo.ca
Staff,4,33,Electrical,he / him,Brian ,Nicholas,BigBrainBri@hotmail.com
Staff,5,28,Electrical,she / her,Noreen ,Murphy,NoreenM@yahoo.com
Staff,6,20,Serving,he / him,Andrew ,Finkelstein,FinkelWrinkle@hotmail.com
Staff,7,21,,she / her,Lillyann ,Hamid,LillyannHamid@aol.com
Staff,8,19,Serving,he / him,Karl ,Lee,KarlLee@sympatico.ca
Staff,9,21,Serving,he / him,DJ ,Murray,DJM@aol.com
Staff,10,23,Serving,she / her,Lauren ,Murphy,MegaMurph@hotmail.com
Staff,11,40,"Security, Electrical",they / them,Tana ,Brummer,BrummerBummer@aol.com
Staff,12,25,Security,she / her,Claudine ,Lubin,ClaudineLubin@hotmail.com
Staff,13,25,Security,he / him,Ramsay ,Kubal,RamKub@gmail.com
Staff,14,48,"Security, Bartending",she / her,Suzanne ,Ferguson,SuzzieFergie@aol.com
Staff,15,20,,they / them,Alex ,Everett,AlexE@hotmail.com
Staff,16,20,,she / her,Andrea ,Toro,AndreaToro@gmail.com
Staff,17,30,Electrical,he / him,Kyle ,McGuire,Kyle.McG@gmail.com
Staff,18,33,"Electrical, Serving",he / him,Thomas ,Purpi,ThomPurpi@aol.com
Staff,19,23,,they / them,Thinko,Yom,YomThinko@aol.com
Staff,20,25,,they / them,Worp,Toro,Toro@aol.com
