2,raphegoistic@hotmail.com,Stone Fruit Allergy,
2,offerunlawful@mac.com,Walnut Allergy,
3,embellishmuddy@me.com,Gluten Intolerant,
3,expressuncomfortable@icloud.com,Gluten Intolerant,
13,Gaither@Gaither.net,Gluten Intolerant,
14,imra@hotmail.com,Gluten Intolerant,
7,pamserious@gmail.com,Gluten Intolerant,
1,FlipFlip@hotmail.ca,Gluten Intolerant,
30,hospitalizejuvenile@msn.com,Vegetarian,
30,inclinesilver@msn.com,Halal,
18,outlawagile@att.net,Halal,
7,shriekviolent@me.com,Halal,
13,AB@gmail.com,Halal,
28,perfectlast@verizon.net,Halal,
29,mumbledecimal@hotmail.com,Halal,
8,bindfantastic@sbcglobal.net,Halal,
18,propelarid@hotmail.com,Halal,
25,wireunlawful@optonline.net,Halal,
3,fondnessnandy@live.com,Lactose Intolerant,absolutely no cheese
29,moordependable@gmail.com,Halal,
6,raidrectangular@yahoo.com,Vegetarian,
20,cheatloose@aol.com,Kosher,
19,wx201@qq.com,Kosher,
7,prodsmooth@yahoo.ca,Kosher,
5,spenceshy@gmail.com,Kosher,
3,moordependable@gmail.com,Kosher,
6,escapefantastic@sbcglobal.net,Kosher,
30,indifferentdan@msn.com,Kosher,
29,disclosewaterlogged@me.com,Kosher,
18,loopcomplete@yahoo.ca,Kosher,
2,addresslone@hotmail.com,Kosher,
9,posesociable@yahoo.ca,Lactose Intolerant,
3,sneakhonorable@att.net,Lactose Intolerant,
2,openmodern@hotmail.com,Vegan,
13,imra@hotmail.com,Vegetarian,
25,elatednando@verizon.net,Lactose Intolerant,
16,converseloathsome@live.com,Lactose Intolerant,
7,cleankindhearted@yahoo.com,Vegan,
3,crumplecharming@me.com,Vegetarian,
29,entrenchwrithing@gmail.com,Lactose Intolerant,mild
29,circumscribemeager@gmail.com,Lactose Intolerant,severe
2,overwhelmedphemie@att.net,Lactose Intolerant,
28,bounceugly@sbcglobal.net,Lactose Intolerant,
29,reappearzesty@comcast.net,Lactose Intolerant,
28,attractwarm@att.net,Lactose Intolerant,
29,disgracedpatty@protonmail.com,No Beef,
18,crystallizesteep@att.net,No beef,
3,traversetrivial@msn.com,Nut allergy,
3,prophesizetragic@aol.com,Peanut Allergy,
8,JasBo@hotmail.com,Pescatarian ,
11,janiesweet@yahoo.ca,Pescatarian ,
27,relaxawesome@me.com,Seafood Allergy,severe allergy
18,bitterlillie@optonline.net,Seafood Allergy,
4,parodysweet@live.com,Seafood Allergy,
18,julieopen-minded@hotmail.com,Seafood Allergy,
28,assassinatebuttery@sbcglobal.net,Soy Allergy,
14,jbrown99@thomkinsu.edu,Vegan,
3,martyhardasarock@optonline.net,Vegan,
32,taliehardasarock@hotmail.com,Vegetarian,
2,pityobedient@outlook.com,Vegetarian,
16,jbrown99@thomkinsu.edu,Vegetarian,
13,ach@frontiernet.net,Vegetarian,
2,laughgrounded@yahoo.ca,Vegetarian,
2,concluderuddy@yahoo.ca,Vegetarian,
3,strideprecious@outlook.com,Vegetarian,
5,alienatequirky@protonmail.com,Vegetarian,
3,KMC@frontiernet.net,Lactose Intolerant,
3,scourself-reliant@me.com,Walnut Allergy,
